id,NameZh,NameEn,price
45,西柠鱼,Lemon Fish,24.00
46,咕噜鱼,Sweet & Sour Fish,24.00
47,豉汁斑块,Fish fillet & Vegetable in Black Bean Sauce,24.00
48,川汁带子,Stir-fried Scallops in Hot & Chili Sauce,28.00
49,豉汁带子,Stir-fried Scallops in Black Bean Sauce,28.00
50,香蜜虾球,Stir-fried Prawns with Honey Sauce,28.00
52,椒盐大虾,Prawns with lettuce in Spicy Pepper Salt,28.00
53,腰果虾仁,Prawns with Cashew Nuts & Vegetables,28.00
54,川汁鲜鱿,Stir-fried Squid in Hot & Chili Sauce,25.00
55,豉汁鲜鱿,Stir-fried Squid with Vegetables in Black Bean Sauce,25.00
56,时菜鲜鱿,Stir-fried Squid with Vegetables,25.00
57,时菜海鲜,Stir-fried Seafood with Vegetables,29.00